Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
Taxi/Private hire car,12,1,Petrol,2490
Car,10,1,Petrol,1997
Car,10,1,Petrol,1796
Car,2,1,Heavy oil,2926
Motorcycle over 500cc,5,1,Petrol,996
Car,2,1,Petrol,1590
Car,8,1,Petrol,1149
Motorcycle 125cc and under,1,1,Petrol,124
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,6,1,Heavy oil,2151
Car,12,1,Heavy oil,1896
Motorcycle over 500cc,4,1,Petrol,599
Car,2,1,Petrol,1998
Car,13,1,Heavy oil,1870
Car,8,1,Petrol,998
Car,9,1,Petrol,1598
Car,13,1,Petrol,1998
Bus or coach (17 or more pass seats),2,1,Heavy oil,3900
Motorcycle 125cc and under,7,1,Petrol,124
Car,8,1,Petrol,1390
Car,3,1,Petrol,1598
Motorcycle over 500cc,5,1,Petrol,599
Car,4,1,Petrol,1299
Car,9,1,Petrol,1799
Motorcycle 125cc and under,4,1,Petrol,124
Car,9,1,Petrol,1996
Car,3,1,Petrol,1596
Car,6,1,Heavy oil,1994
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,1868
Car,3,1,Heavy oil,1995
Car,9,1,Petrol,1299
Car,8,1,Heavy oil,1753
Car,11,1,Petrol,1396
Car,3,1,Petrol,1781
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2151
Car,19,1,Heavy oil,2500
Car,4,1,Petrol,1299
Car,9,1,Petrol,1781
Motorcycle 50cc and under,5,1,Petrol,49
Motorcycle over 500cc,2,1,Petrol,599
Car,1,1,Petrol,1242
Car,10,1,Petrol,1396
Car,11,1,Petrol,1392
Car,6,1,Petrol,1590
Car,5,1,Heavy oil,1995
Motorcycle 125cc and under,3,1,Petrol,124
Car,5,1,Petrol,1199
Car,3,1,Petrol,998
Car,6,1,Petrol,1349
Bus or coach (17 or more pass seats),4,1,Heavy oil,5883
Motorcycle 125cc and under,1,1,Petrol,124
Bus or coach (17 or more pass seats),1,1,Heavy oil,11967
Motorcycle over 500cc,6,1,Petrol,600
Motorcycle over 125cc and up to 500cc,12,1,Petrol,487
Motorcycle over 500cc,3,1,Petrol,998
Car,13,1,Petrol,1360
Car,11,1,Petrol,2997
Car,6,1,Petrol,1799
Bus or coach (17 or more pass seats),6,1,Heavy oil,8650
Car,7,1,Petrol,1998
Car,6,1,Petrol,1761
Car,5,1,Petrol,1390
Car,3,1,Heavy oil,1900
Car,11,1,Petrol,999
Car,4,1,Petrol,2171
Car,4,1,Petrol,1998
Car,9,1,Heavy oil,1700
Car,7,1,Petrol,1800
Motorcycle 125cc and under,1,1,Petrol,124
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1753
Car,13,1,Petrol,1396
Car,5,1,Petrol,1795
Minibus (8 - 16 passenger seats),1,1,Heavy oil,2402
Taxi/Private hire car,15,1,Heavy oil,2664
Car,10,1,Petrol,1360
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,13,1,Petrol,1839
Motorcycle over 500cc,5,1,Petrol,1298
Car,5,1,Petrol,1149
Car,9,1,Petrol,1396
Motorcycle 125cc and under,2,1,Petrol,125
Bus or coach (17 or more pass seats),2,1,Heavy oil,3900
Car,7,1,Petrol,1242
Car,14,1,Petrol,1993
Car,9,1,Petrol,2498
Car,3,1,Petrol,1598
Taxi/Private hire car,1,1,Heavy oil,2402
Motorcycle 50cc and under,3,1,Petrol,49
Car,16,1,Petrol,1955
Car,6,1,Petrol,1390
Car,11,1,Petrol,1796
Motorcycle over 500cc,15,1,Petrol,998
Car,7,1,Petrol,1587
Car,4,1,Heavy oil,1951
Motorcycle 125cc and under,7,1,Petrol,124
Car,9,1,Heavy oil,1905
Car,3,1,Petrol,1984
Motorcycle over 500cc,3,1,Petrol,955
Car,13,1,Petrol,1598
Car,9,1,Petrol,1783
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,3,1,Petrol,1298
Motorcycle 125cc and under,4,1,Petrol,124
Car,15,1,Petrol,1595
Car,4,1,Petrol,1390
Motorcycle over 500cc,3,1,Petrol,1199
Car,4,1,Petrol,1242
Motorcycle 125cc and under,8,1,Petrol,124
Taxi/Private hire car,9,1,Heavy oil,2664
Car,9,1,Petrol,1996
Car,1,1,Petrol,1397
Car,4,1,Petrol,1390
Car,8,1,Petrol,1389
Motorcycle 125cc and under,3,1,Petrol,124
Car,6,1,Petrol,1598
Car,1,1,Heavy oil,1997
Car,8,1,Petrol,1196
Car,11,1,Petrol,1997
Car,3,1,Petrol,1598
Car,8,1,Petrol,1390
Car,3,1,Heavy oil,1896
Car,11,1,Petrol,1597
Van / Goods 3.5 tonnes mgw or under,13,1,Heavy oil,2446
Car,5,1,Petrol,1390
Van / Goods 3.5 tonnes mgw or under,1,1,Gas/Bi-fuel,1796
Motorcycle 125cc and under,4,1,Petrol,124
Car,9,1,Petrol,1761
Car,10,1,Petrol,1391
Car,4,1,Petrol,1124
Car,4,1,Petrol,1794
Motorcycle over 500cc,5,1,Petrol,781
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1998
Bus or coach (17 or more pass seats),2,1,Heavy oil,6370
Car,2,1,Petrol,1997
Car,19,1,Petrol,1275
Car,9,1,Heavy oil,1896
Car,9,1,Petrol,1493
Car,10,1,Heavy oil,1769
Van / Goods 3.5 tonnes mgw or under,8,1,Heavy oil,1686
Car,7,1,Petrol,1390
Car,10,1,Petrol,1994
Car,14,1,Petrol,1595
Car,12,1,Petrol,1119
Car,1,1,Petrol,1796
Car,12,1,Heavy oil,1905
Car,5,1,Petrol,1149
Van / Goods 3.5 tonnes mgw or under,8,1,Heavy oil,2500
Motorcycle 125cc and under,1,1,Petrol,124
Car,2,1,Heavy oil,1997
Car,10,1,Heavy oil,2180
Car,5,1,Petrol,1796
Motorcycle 125cc and under,5,1,Petrol,124
Van / Goods 3.5 tonnes mgw or under,5,1,Heavy oil,2500
Car,14,1,Petrol,1958
Motorcycle over 500cc,6,1,Petrol,599
Car,8,1,Petrol,1149
Car,8,1,Petrol,1275
Car,8,1,Petrol,1299
Motorcycle 125cc and under,11,1,Petrol,124
Car,8,1,Petrol,1597
Car,2,1,Petrol,1198
Car,5,1,Petrol,3956
Car,2,1,Heavy oil,2688
Car,14,1,Petrol,2494
Car,9,1,Petrol,3960
Car,6,1,Petrol,1988
