Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
Motorcycle over 125cc and up to 500cc,7,1,Petrol,499
Car,11,1,Petrol,1389
Car,8,1,Heavy oil,2495
Motorcycle over 500cc,2,1,Petrol,599
Motorcycle 50cc and under,1,1,Petrol,49
Motorcycle 50cc and under,6,1,Petrol,49
Car,7,1,Petrol,1762
Motorcycle over 500cc,3,1,Petrol,599
Motorcycle over 500cc,2,1,Petrol,600
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Motorcycle over 500cc,15,1,Petrol,805
Car,3,1,Heavy oil,1997
Motorcycle over 500cc,15,1,Petrol,750
Car,5,1,Petrol,1997
Goods over 3.5t. and under 7.5t,3,1,Heavy oil,5880
Motorcycle over 125cc and up to 500cc,5,1,Petrol,499
Motorcycle over 125cc and up to 500cc,4,1,Petrol,250
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Car,3,1,Petrol,2362
Motorcycle over 125cc and up to 500cc,14,1,Petrol,400
Car,6,1,Petrol,1587
Taxi/Private hire car,10,1,Heavy oil,2664
Car,4,1,Petrol,1299
Car,3,1,Heavy oil,1896
Car,10,1,Petrol,5379
Car,2,1,Heavy oil,1997
Car,4,1,Petrol,1769
Car,9,1,Petrol,1598
Car,1,1,Petrol,2979
Motorcycle over 500cc,5,1,Petrol,748
Motorcycle 125cc and under,2,1,Petrol,124
Car,4,1,Petrol,1242
Motorcycle 50cc and under,5,1,Petrol,49
Motorcycle 50cc and under,3,1,Petrol,49
Car,5,1,Petrol,1595
Car,1,1,Petrol,1999
Motorcycle 125cc and under,7,1,Petrol,85
Motorcycle 125cc and under,1,1,Petrol,125
Car,11,1,Petrol,1389
Car,8,1,Petrol,1984
Motorcycle 50cc and under,2,1,Petrol,49
Car,10,1,Petrol,1598
Goods over 3.5t. and under 7.5t,3,1,Heavy oil,4751
Motorcycle 125cc and under,1,1,Petrol,124
Motorcycle 125cc and under,8,1,Petrol,124
Car,6,1,Petrol,1390
Car,6,1,Petrol,1800
Car,3,1,Petrol,1390
