Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive,Propulsion_Code,Engine_Capacity_CC
Motorcycle 125cc and under,1,1,Petrol,124
Car,12,1,Petrol,1124
Motorcycle 125cc and under,8,1,Petrol,124
Car,5,1,Petrol,3000
Car,6,1,Petrol,1390
Car,6,1,Petrol,1800
Car,3,1,Petrol,1390
Car,3,1,Petrol,1390
Car,3,1,Petrol,1390
Car,3,1,Petrol,1390
Taxi/Private hire car,5,1,Heavy oil,2664
Car,18,1,Petrol,1295
Car,11,1,Petrol,2494
Motorcycle 125cc and under,1,1,Petrol,125
Car,6,1,Heavy oil,1689
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,2689
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,2689
Car,7,1,Petrol,1597
Car,7,1,Petrol,1597
Car,7,1,Petrol,1597
Motorcycle 50cc and under,2,1,Petrol,49
Car,3,1,Petrol,1781
Car,9,1,Petrol,1985
Car,4,1,Petrol,1998
Car,4,1,Petrol,1998
Car,4,1,Petrol,1998
Car,4,1,Petrol,1998
Motorcycle 125cc and under,3,1,Petrol,124
Motorcycle 125cc and under,3,1,Petrol,124
Car,8,1,Petrol,1370
Car,3,1,Heavy oil,2401
Taxi/Private hire car,7,1,Heavy oil,2664
Bus or coach (17 or more pass seats),1,1,Heavy oil,7300
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,1,1,Heavy oil,2776
Bus or coach (17 or more pass seats),7,1,Heavy oil,5900
Motorcycle over 500cc,4,1,Petrol,1137
Motorcycle over 500cc,4,1,Petrol,1137
Car,5,1,Petrol,2464
Car,3,1,Petrol,1598
Motorcycle over 500cc,3,1,Petrol,600
Motorcycle 125cc and under,1,1,Petrol,125
Bus or coach (17 or more pass seats),1,1,Heavy oil,7300
Motorcycle 125cc and under,2,1,Petrol,124
Car,7,1,Petrol,1985
Car,4,1,Petrol,1595
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Motorcycle 125cc and under,4,1,Petrol,124
Car,1,1,Petrol,1240
Car,6,1,Petrol,998
Taxi/Private hire car,4,1,Heavy oil,2664
Taxi/Private hire car,4,1,Heavy oil,2664
Car,13,1,Petrol,1118
Car,13,1,Petrol,1367
Motorcycle 125cc and under,2,1,Petrol,124
Motorcycle 125cc and under,7,1,Petrol,124
Car,1,1,Heavy oil,1988
Motorcycle 125cc and under,1,1,Petrol,125
Motorcycle 125cc and under,1,1,Petrol,125
