,Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
271,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,7300.0
272,Taxi/Private hire car,4.0,1.0,Heavy oil,2664.0
274,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,7300.0
276,Car,10.0,1.0,Petrol,1391.0
277,Car,4.0,1.0,Heavy oil,1896.0
283,Car,11.0,1.0,Petrol,1396.0
287,Motorcycle over 500cc,7.0,1.0,Petrol,800.0
288,Motorcycle over 500cc,7.0,1.0,Petrol,800.0
290,Car,5.0,1.0,Petrol,1390.0
291,Car,5.0,1.0,Petrol,1390.0
293,Motorcycle over 500cc,12.0,1.0,Petrol,553.0
295,Car,6.0,1.0,Petrol,1998.0
296,Car,2.0,1.0,Petrol,1200.0
297,Motorcycle over 500cc,13.0,1.0,Petrol,652.0
298,Car,10.0,1.0,Petrol,1596.0
300,Car,5.0,1.0,Petrol,2494.0
304,Car,2.0,1.0,Heavy oil,1896.0
305,Car,2.0,1.0,Heavy oil,1896.0
307,Motorcycle 125cc and under,4.0,1.0,Petrol,100.0
309,Motorcycle over 500cc,7.0,1.0,Petrol,599.0
311,Van / Goods 3.5 tonnes mgw or under,2.0,1.0,Heavy oil,1997.0
314,Goods 7.5 tonnes mgw and over,5.0,1.0,Heavy oil,4580.0
315,Van / Goods 3.5 tonnes mgw or under,1.0,1.0,Heavy oil,1686.0
316,Van / Goods 3.5 tonnes mgw or under,5.0,1.0,Petrol,1968.0
318,Motorcycle over 500cc,2.0,1.0,Petrol,998.0
319,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,5883.0
320,Car,3.0,1.0,Petrol,1783.0
321,Motorcycle 50cc and under,3.0,1.0,Petrol,49.0
322,Car,9.0,1.0,Petrol,1781.0
324,Motorcycle over 500cc,20.0,1.0,Petrol,948.0
325,Car,5.0,1.0,Petrol,2793.0
326,Car,5.0,1.0,Petrol,2793.0
327,Motorcycle 125cc and under,3.0,1.0,Petrol,124.0
328,Car,4.0,1.0,Petrol,1970.0
330,Taxi/Private hire car,10.0,1.0,Heavy oil,2664.0
333,Taxi/Private hire car,6.0,1.0,Heavy oil,2664.0
334,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,7300.0
337,Car,22.0,1.0,Petrol,1766.0
339,Motorcycle 125cc and under,5.0,1.0,Petrol,125.0
340,Motorcycle over 500cc,1.0,1.0,Petrol,618.0
343,Motorcycle 125cc and under,3.0,1.0,Petrol,50.0
344,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,7300.0
347,Car,3.0,1.0,Heavy oil,2148.0
348,Motorcycle over 500cc,1.0,1.0,Petrol,998.0
351,Car,2.0,1.0,Heavy oil,3222.0
352,Motorcycle over 125cc and up to 500cc,7.0,1.0,Petrol,499.0
354,Motorcycle over 500cc,2.0,1.0,Petrol,599.0
355,Motorcycle 50cc and under,1.0,1.0,Petrol,49.0
356,Motorcycle over 500cc,3.0,1.0,Petrol,599.0
358,Motorcycle over 500cc,2.0,1.0,Petrol,600.0
362,Motorcycle over 500cc,15.0,1.0,Petrol,805.0
363,Motorcycle over 500cc,15.0,1.0,Petrol,750.0
371,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,7300.0
372,Car,3.0,1.0,Petrol,2362.0
374,Car,3.0,1.0,Heavy oil,1896.0
375,Car,10.0,1.0,Petrol,5379.0
377,Car,2.0,1.0,Heavy oil,1997.0
379,Car,1.0,1.0,Petrol,2979.0
380,Motorcycle over 500cc,5.0,1.0,Petrol,748.0
381,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
382,Car,4.0,1.0,Petrol,1242.0
385,Motorcycle 50cc and under,3.0,1.0,Petrol,49.0
386,Car,5.0,1.0,Petrol,1595.0
388,Car,1.0,1.0,Petrol,1999.0
389,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
391,Car,8.0,1.0,Petrol,1984.0
393,Motorcycle 50cc and under,2.0,1.0,Petrol,49.0
394,Car,10.0,1.0,Petrol,1598.0
396,Motorcycle 125cc and under,1.0,1.0,Petrol,124.0
398,Car,6.0,1.0,Petrol,1800.0
399,Car,3.0,1.0,Petrol,1390.0
400,Car,2.0,1.0,Petrol,1390.0
401,Car,2.0,1.0,Petrol,1390.0
402,Car,2.0,1.0,Petrol,1390.0
403,Taxi/Private hire car,5.0,1.0,Heavy oil,2664.0
406,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
407,Car,6.0,1.0,Heavy oil,1689.0
409,Car,7.0,1.0,Petrol,1998.0
