,Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
270,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,7300.0
271,Motorcycle over 500cc,4.0,1.0,Petrol,599.0
272,Motorcycle 125cc and under,3.0,1.0,Petrol,125.0
275,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,7300.0
276,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,7300.0
279,Motorcycle 125cc and under,1.0,1.0,Petrol,124.0
281,Motorcycle 125cc and under,1.0,1.0,Petrol,124.0
283,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
284,Motorcycle over 500cc,1.0,1.0,Petrol,582.0
285,Car,9.0,1.0,Petrol,1747.0
287,Car,14.0,1.0,Petrol,1124.0
288,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,7300.0
289,Motorcycle 50cc and under,3.0,1.0,Petrol,50.0
291,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,4250.0
294,Motorcycle over 500cc,10.0,1.0,Petrol,1084.0
295,Motorcycle over 500cc,1.0,1.0,Petrol,1171.0
296,Car,1.0,1.0,Petrol,2494.0
297,Bus or coach (17 or more pass seats),5.0,1.0,Heavy oil,8300.0
298,Motorcycle 125cc and under,4.0,1.0,Petrol,125.0
303,Motorcycle 50cc and under,2.0,1.0,Petrol,49.0
304,Van / Goods 3.5 tonnes mgw or under,1.0,1.0,Heavy oil,1997.0
305,Motorcycle over 500cc,1.0,1.0,Petrol,599.0
308,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
309,Motorcycle 50cc and under,1.0,1.0,Petrol,49.0
310,Car,4.0,1.0,Petrol,1596.0
311,Motorcycle over 500cc,1.0,1.0,Petrol,984.0
312,Car,10.0,1.0,Petrol,2598.0
313,Car,5.0,1.0,Petrol,973.0
314,Motorcycle over 500cc,1.0,1.0,Petrol,955.0
316,Taxi/Private hire car,5.0,1.0,Heavy oil,2664.0
317,Car,11.0,1.0,Petrol,1597.0
318,Motorcycle over 500cc,3.0,1.0,Petrol,582.0
320,Motorcycle 125cc and under,9.0,1.0,Petrol,124.0
322,Car,1.0,1.0,Heavy oil,2982.0
324,Car,13.0,1.0,Petrol,2000.0
326,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,8268.0
330,Motorcycle 125cc and under,7.0,1.0,Petrol,124.0
331,Car,4.0,1.0,Petrol,1834.0
332,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,7300.0
333,Car,6.0,1.0,Petrol,1581.0
335,Car,5.0,1.0,Heavy oil,1998.0
336,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,7300.0
337,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,8268.0
338,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,8268.0
341,Car,1.0,1.0,Petrol,1598.0
342,Motorcycle over 500cc,4.0,1.0,Petrol,599.0
343,Motorcycle 125cc and under,4.0,1.0,Petrol,124.0
345,Car,10.0,1.0,Heavy oil,1753.0
346,Car,2.0,1.0,Heavy oil,1686.0
347,Car,2.0,1.0,Heavy oil,1686.0
350,Car,2.0,1.0,Petrol,1242.0
358,Car,2.0,1.0,Petrol,3199.0
359,Motorcycle 50cc and under,6.0,1.0,Petrol,49.0
361,Car,7.0,1.0,Petrol,1390.0
363,Car,3.0,1.0,Petrol,1598.0
367,Motorcycle over 500cc,5.0,1.0,Petrol,599.0
369,Car,5.0,1.0,Petrol,1390.0
371,Car,3.0,1.0,Petrol,4966.0
372,Motorcycle 50cc and under,5.0,1.0,Petrol,50.0
376,Motorcycle 125cc and under,11.0,1.0,Petrol,124.0
377,Taxi/Private hire car,10.0,1.0,Heavy oil,2664.0
378,Motorcycle over 500cc,27.0,1.0,Petrol,1116.0
380,Car,2.0,1.0,Heavy oil,2496.0
382,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,7300.0
383,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,7300.0
385,Car,7.0,1.0,Petrol,3239.0
386,Car,7.0,1.0,Petrol,3239.0
390,Car,3.0,1.0,Petrol,1124.0
393,Car,5.0,1.0,Petrol,1596.0
394,Car,7.0,1.0,Petrol,1389.0
395,Motorcycle over 500cc,3.0,1.0,Petrol,1084.0
397,Taxi/Private hire car,1.0,1.0,Petrol,2362.0
400,Car,6.0,1.0,Petrol,1124.0
406,Motorcycle 125cc and under,1.0,1.0,Petrol,124.0
408,Van / Goods 3.5 tonnes mgw or under,7.0,1.0,Petrol,1753.0
409,Motorcycle over 500cc,3.0,1.0,Petrol,900.0
416,Taxi/Private hire car,11.0,1.0,Petrol,3947.0
418,Motorcycle 125cc and under,7.0,1.0,Petrol,124.0
420,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,7300.0
421,Taxi/Private hire car,4.0,1.0,Heavy oil,2664.0
423,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,7300.0
427,Car,10.0,1.0,Petrol,1391.0
428,Car,4.0,1.0,Heavy oil,1896.0
429,Motorcycle 125cc and under,1.0,1.0,Petrol,124.0
434,Motorcycle over 500cc,7.0,1.0,Petrol,955.0
439,Car,11.0,1.0,Petrol,1396.0
442,Motorcycle 125cc and under,7.0,1.0,Petrol,85.0
444,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,7300.0
446,Motorcycle 125cc and under,2.0,1.0,Petrol,125.0
448,Motorcycle over 500cc,7.0,1.0,Petrol,800.0
449,Motorcycle over 500cc,7.0,1.0,Petrol,800.0
451,Car,5.0,1.0,Petrol,1390.0
452,Car,5.0,1.0,Petrol,1390.0
454,Motorcycle 50cc and under,3.0,1.0,Petrol,49.0
455,Car,9.0,1.0,Petrol,1998.0
456,Motorcycle over 500cc,12.0,1.0,Petrol,553.0
458,Car,6.0,1.0,Petrol,1998.0
460,Car,2.0,1.0,Petrol,1200.0
461,Motorcycle over 500cc,13.0,1.0,Petrol,652.0
462,Car,10.0,1.0,Petrol,1596.0
464,Car,5.0,1.0,Petrol,2494.0
467,Motorcycle 125cc and under,2.0,1.0,Petrol,125.0
478,Car,2.0,1.0,Heavy oil,1896.0
479,Car,2.0,1.0,Heavy oil,1896.0
481,Motorcycle 125cc and under,4.0,1.0,Petrol,100.0
485,Motorcycle over 500cc,7.0,1.0,Petrol,599.0
487,Van / Goods 3.5 tonnes mgw or under,2.0,1.0,Heavy oil,1997.0
490,Goods 7.5 tonnes mgw and over,5.0,1.0,Heavy oil,4580.0
491,Van / Goods 3.5 tonnes mgw or under,1.0,1.0,Heavy oil,1686.0
492,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
493,Van / Goods 3.5 tonnes mgw or under,5.0,1.0,Petrol,1968.0
494,Motorcycle 125cc and under,6.0,1.0,Petrol,124.0
495,Motorcycle over 500cc,1.0,1.0,Petrol,625.0
497,Motorcycle over 500cc,2.0,1.0,Petrol,998.0
498,Car,2.0,1.0,Petrol,1598.0
499,Car,3.0,1.0,Petrol,1595.0
500,Car,3.0,1.0,Petrol,1595.0
501,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,5883.0
502,Car,3.0,1.0,Petrol,1783.0
503,Motorcycle 50cc and under,3.0,1.0,Petrol,49.0
504,Car,9.0,1.0,Petrol,1781.0
506,Motorcycle over 500cc,20.0,1.0,Petrol,948.0
507,Car,1.0,1.0,Petrol,1998.0
508,Car,5.0,1.0,Petrol,2793.0
509,Car,5.0,1.0,Petrol,2793.0
510,Motorcycle 125cc and under,3.0,1.0,Petrol,124.0
511,Car,4.0,1.0,Petrol,1970.0
514,Taxi/Private hire car,10.0,1.0,Heavy oil,2664.0
517,Taxi/Private hire car,6.0,1.0,Heavy oil,2664.0
518,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,7300.0
522,Car,22.0,1.0,Petrol,1766.0
524,Motorcycle over 500cc,3.0,1.0,Petrol,647.0
525,Motorcycle 125cc and under,5.0,1.0,Petrol,125.0
526,Motorcycle over 500cc,1.0,1.0,Petrol,618.0
529,Car,17.0,1.0,Petrol,1396.0
531,Motorcycle 125cc and under,3.0,1.0,Petrol,50.0
532,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,7300.0
535,Car,3.0,1.0,Heavy oil,2148.0
536,Motorcycle over 500cc,1.0,1.0,Petrol,998.0
537,Car,6.0,1.0,Petrol,1242.0
540,Car,2.0,1.0,Heavy oil,3222.0
541,Motorcycle over 125cc and up to 500cc,7.0,1.0,Petrol,499.0
544,Car,11.0,1.0,Petrol,1389.0
546,Car,8.0,1.0,Heavy oil,2495.0
547,Motorcycle over 500cc,2.0,1.0,Petrol,599.0
550,Motorcycle 50cc and under,1.0,1.0,Petrol,49.0
551,Motorcycle 50cc and under,6.0,1.0,Petrol,49.0
553,Car,7.0,1.0,Petrol,1762.0
554,Motorcycle over 500cc,3.0,1.0,Petrol,599.0
557,Motorcycle over 500cc,2.0,1.0,Petrol,600.0
560,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,7300.0
562,Motorcycle over 500cc,15.0,1.0,Petrol,805.0
563,Car,3.0,1.0,Heavy oil,1997.0
564,Motorcycle over 500cc,15.0,1.0,Petrol,750.0
566,Car,5.0,1.0,Petrol,1997.0
572,Goods over 3.5t. and under 7.5t,3.0,1.0,Heavy oil,5880.0
573,Motorcycle over 125cc and up to 500cc,5.0,1.0,Petrol,499.0
578,Motorcycle over 125cc and up to 500cc,4.0,1.0,Petrol,250.0
579,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,7300.0
580,Car,3.0,1.0,Petrol,2362.0
581,Motorcycle over 125cc and up to 500cc,14.0,1.0,Petrol,400.0
583,Car,6.0,1.0,Petrol,1587.0
584,Taxi/Private hire car,10.0,1.0,Heavy oil,2664.0
586,Car,4.0,1.0,Petrol,1299.0
588,Car,3.0,1.0,Heavy oil,1896.0
589,Car,10.0,1.0,Petrol,5379.0
591,Car,2.0,1.0,Heavy oil,1997.0
592,Car,4.0,1.0,Petrol,1769.0
593,Car,9.0,1.0,Petrol,1598.0
595,Car,1.0,1.0,Petrol,2979.0
596,Motorcycle over 500cc,5.0,1.0,Petrol,748.0
597,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
598,Car,4.0,1.0,Petrol,1242.0
600,Motorcycle 50cc and under,5.0,1.0,Petrol,49.0
602,Motorcycle 50cc and under,3.0,1.0,Petrol,49.0
603,Car,5.0,1.0,Petrol,1595.0
607,Car,1.0,1.0,Petrol,1999.0
608,Motorcycle 125cc and under,7.0,1.0,Petrol,85.0
609,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
611,Car,11.0,1.0,Petrol,1389.0
612,Car,8.0,1.0,Petrol,1984.0
614,Motorcycle 50cc and under,2.0,1.0,Petrol,49.0
615,Car,10.0,1.0,Petrol,1598.0
616,Goods over 3.5t. and under 7.5t,3.0,1.0,Heavy oil,4751.0
619,Motorcycle 125cc and under,1.0,1.0,Petrol,124.0
621,Motorcycle 125cc and under,8.0,1.0,Petrol,124.0
623,Car,6.0,1.0,Petrol,1390.0
624,Car,6.0,1.0,Petrol,1800.0
625,Car,3.0,1.0,Petrol,1390.0
626,Car,2.0,1.0,Petrol,1390.0
627,Car,2.0,1.0,Petrol,1390.0
628,Car,2.0,1.0,Petrol,1390.0
630,Taxi/Private hire car,5.0,1.0,Heavy oil,2664.0
634,Car,11.0,1.0,Petrol,2494.0
636,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
637,Car,6.0,1.0,Heavy oil,1689.0
639,Car,7.0,1.0,Petrol,1998.0
640,Van / Goods 3.5 tonnes mgw or under,3.0,1.0,Heavy oil,2689.0
641,Car,5.0,1.0,Heavy oil,2902.0
644,Car,7.0,1.0,Petrol,1597.0
645,Car,3.0,1.0,Petrol,998.0
646,Car,3.0,1.0,Petrol,998.0
647,Car,7.0,1.0,Petrol,1600.0
648,Motorcycle 50cc and under,2.0,1.0,Petrol,49.0
650,Car,3.0,1.0,Petrol,1781.0
653,Car,4.0,1.0,Petrol,1998.0
654,Car,4.0,1.0,Petrol,1998.0
655,Car,4.0,1.0,Petrol,1998.0
656,Car,4.0,1.0,Petrol,1998.0
658,Car,7.0,1.0,Petrol,1390.0
659,Motorcycle 125cc and under,3.0,1.0,Petrol,124.0
660,Motorcycle 125cc and under,3.0,1.0,Petrol,124.0
662,Car,8.0,1.0,Petrol,1370.0
664,Car,3.0,1.0,Heavy oil,2401.0
666,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,7300.0
667,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,8268.0
668,Car,9.0,1.0,Petrol,1596.0
669,Bus or coach (17 or more pass seats),7.0,1.0,Heavy oil,5900.0
670,Motorcycle over 500cc,4.0,1.0,Petrol,1137.0
